"地名","docomo","au","softbank","rakuten"
東京都千代田区西神田一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区西神田二丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","4G","4G(楽天回線)"
東京都千代田区西神田三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都千代田区神田三崎町一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都千代田区神田三崎町二丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","5G(2020年夏以降予定)","4G(楽天回線)"
東京都千代田区神田三崎町三丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","5G(2020年夏以降予定)","4G(楽天回線)"
東京都千代田区神田美倉町,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都千代田区隼町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区平河町一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都千代田区平河町二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区麹町一丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","4G","4G(楽天回線)"
東京都千代田区麹町二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区麹町三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区麹町四丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区麹町五丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区麹町六丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都千代田区一番町,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都千代田区二番町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区紀尾井町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区六番町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区四番町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都千代田区五番町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区佃一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区佃二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区佃三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区築地一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区築地二丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","4G","4G(楽天回線)"
東京都中央区築地三丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","4G","4G(楽天回線)"
東京都中央区築地四丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区築地五丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区築地六丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区築地七丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区湊一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区湊二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区湊三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区銀座一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区銀座二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区銀座三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区銀座四丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区銀座五丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区銀座六丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区銀座七丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区銀座八丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区明石町,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区入船一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区入船二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区入船三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区月島一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区月島二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区月島三丁目,"4G(PREMIUM 4G)",エリア外,"4G","4G(楽天回線)"
東京都中央区月島四丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区晴海一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区晴海二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区晴海三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区晴海四丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区晴海五丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区勝どき一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区勝どき二丁目,"4G(PREMIUM 4G)","4G","4G","4G(au回線)"
東京都中央区勝どき三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区勝どき四丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区勝どき五丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区勝どき六丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区豊海町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区浜離宮庭園,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区新富一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区新富二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区八丁堀一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区八丁堀二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区八丁堀三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区八丁堀四丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区新川一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区新川二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋茅場町一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋茅場町二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋茅場町三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋人形町一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋人形町二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋人形町三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区京橋一丁目,"4G(PREMIUM 4G)","4G","5G","4G(楽天回線)"
東京都中央区京橋二丁目,"4G(PREMIUM 4G)","4G","5G","4G(楽天回線)"
東京都中央区京橋三丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋室町一丁目,"4G(PREMIUM 4G)","4G","5G","4G(楽天回線)"
東京都中央区日本橋室町二丁目,"4G(PREMIUM 4G)","4G","5G","4G(楽天回線)"
東京都中央区日本橋室町三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋室町四丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区八重洲一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区八重洲二丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋二丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋三丁目,"4G(PREMIUM 4G)","4G","5G","4G(楽天回線)"
東京都中央区日本橋浜町一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋浜町二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋浜町三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋蛎殻町一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋蛎殻町二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋兜町,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋箱崎町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋中洲,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋久松町,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋堀留町一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋堀留町二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区東日本橋一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区東日本橋二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区東日本橋三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋小舟町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋本町一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋本町二丁目,"4G(PREMIUM 4G)","4G","5G","4G(楽天回線)"
東京都中央区日本橋本町三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋本町四丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋小網町,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋本石町一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋本石町二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋本石町三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋本石町四丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋富沢町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋横山町,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋小伝馬町,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋大伝馬町,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都中央区日本橋馬喰町一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都中央区日本橋馬喰町二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区虎ノ門一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区虎ノ門二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区虎ノ門三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区虎ノ門四丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区虎ノ門五丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区芝公園一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区芝公園二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区芝公園三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区芝公園四丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区芝一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区芝二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区芝三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区芝四丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区芝五丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区港南一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区港南二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区港南三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区港南四丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区港南五丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区芝浦一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区芝浦二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区芝浦三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区芝浦四丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区西新橋一丁目,"4G(PREMIUM 4G)","5G(2020年夏以降予定)","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区西新橋二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区西新橋三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区南青山一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区南青山二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区南青山三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区南青山四丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区南青山五丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区南青山六丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区南青山七丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区赤坂一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区赤坂二丁目,"4G(PREMIUM 4G)","5G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区赤坂三丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区赤坂四丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区赤坂五丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区赤坂六丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区赤坂七丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区赤坂八丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区赤坂九丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区北青山一丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区北青山二丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区北青山三丁目,"4G(PREMIUM 4G)","4G","4G","4G(楽天回線)"
東京都港区台場一丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
東京都港区台場二丁目,"4G(PREMIUM 4G)","4G","5G(2020年夏以降予定)","4G(楽天回線)"
